"","TIPO_REG","PAIS","P_DEPTO","P_MUNIC","UC_UO","ENCUESTA","COD_VEREDA","P_S7PNUMPEZ","P_S7P96","P_S7P97","P_S7P98","P_S7P99","P_S7P100"
"1",7,170,20,20001,"00000000","003476521",20001010,1,41199900,0,0,0,0
"2",7,170,20,20001,"00300001","000100941",20001005,2,41190300,2,500,15,15
"3",7,170,20,20001,"00410000","082033743",20001009,18,41190300,1,300,400,120
"4",7,170,20,20001,"00410000","082033743",20001009,28,41190400,1,300,300,90
"5",7,170,20,20001,"00410001","000624837",20001009,2,41190300,10,400,4,16
"6",7,170,20,20001,"00720001","000100070",20001001,1,41190300,1,400,2,0.8
"7",7,170,20,20001,"01090000","003507213",20001008,1,41180201,0,0,0,0
"8",7,170,20,20001,"03250000","002034086",20001006,1,41190300,0,0,0,0
"9",7,170,20,20001,"03250000","002034086",20001006,2,41190600,2,50,25,2.5
"10",7,170,20,20001,"03410001","000623269",20001011,2,41190300,0,0,0,0
"11",7,170,20,20001,"03700001","000100272",20001009,1,41190300,1,500,10,5
"12",7,170,20,20001,"04050001","000099763",20001012,1,41190600,0,0,0,0
"13",7,170,20,20001,"04270001","000100229",20001999,1,41190300,9,2500,2.7,60.75
"14",7,170,20,20001,"04810001","000100909",20001012,1,41190300,2,1200,20,48
"15",7,170,20,20001,"06120000","002034668",20001007,1,41199900,0,0,0,0
"16",7,170,20,20001,"06760001","000100613",20001009,3,41190400,9,1000,5,45
"17",7,170,20,20001,"11890000","003470703",20001010,1,41190400,2,12000,15,360
"18",7,170,20,20001,"11900000","003503339",20001000,1,41190400,1,15,500,7.5
"19",7,170,20,20001,"11940001","000100955",20001012,2,41190400,2,100,5.5,1.1
"20",7,170,20,20001,"16690000","003473270",20001999,1,41190300,2,50,2000,200
"21",7,170,20,20001,"16690000","003473270",20001999,2,41190600,2,50,2000,200
"22",7,170,20,20001,"16690000","003473302",20001999,1,41190300,0,0,0,0
"23",7,170,20,20001,"16690000","003473302",20001999,2,41190600,0,0,0,0
"24",7,170,20,20001,"16690000","003473305",20001999,1,41190300,0,0,0,0
"25",7,170,20,20001,"16690000","003473421",20001999,1,41199900,2,100,250,50
"26",7,170,20,20001,"16690000","003473426",20001999,1,41180201,2,30,1000,60
"27",7,170,20,20001,"16690000","003473426",20001999,2,41199900,3,300,250,225
"28",7,170,20,20001,"16690000","003473491",20001999,1,41190300,0,0,0,0
"29",7,170,20,20001,"16690000","003484579",20001999,1,41190300,2,600,400,480
"30",7,170,20,20001,"16690000","003485544",20001999,1,41190300,1,80,500,40
"31",7,170,20,20001,"16690000","003485599",20001999,1,41190300,1,20,500,10
"32",7,170,20,20001,"16690000","003502881",20001999,1,41190300,1,100,500,50
"33",7,170,20,20001,"16690000","003502929",20001999,1,41190300,5,500,400,1000
"34",7,170,20,20001,"16690000","003502938",20001999,1,41190400,2,200,500,200
"35",7,170,20,20001,"16690000","003502953",20001999,1,41190300,7,150,500,525
"36",7,170,20,20001,"16690000","003502964",20001999,1,41190300,1,1000,800,800
"37",7,170,20,20001,"16690000","003502987",20001999,1,41190300,1,80,500,40
"38",7,170,20,20001,"16690000","003502989",20001999,1,41190300,1,300,500,150
"39",7,170,20,20001,"16690000","003502990",20001999,1,41190300,2,40,500,40
"40",7,170,20,20001,"16690000","003502992",20001999,1,41190300,1,30,500,15
"41",7,170,20,20001,"16690000","003503008",20001999,1,41190400,8,300,100,240
"42",7,170,20,20001,"16690000","003510028",20001999,1,41180201,1,50,300,15
"43",7,170,20,20001,"16690000","003510028",20001999,2,41180300,1,50,300,15
"44",7,170,20,20001,"16690000","003510123",20001999,1,41190500,2,50,1,0.1
"45",7,170,20,20001,"16690000","003510133",20001999,1,41190400,2,80,1,0.16
"46",7,170,20,20001,"16690000","003510233",20001999,1,41190300,1,50,250,12.5
"47",7,170,20,20001,"16690000","003510233",20001999,2,41190400,1,50,250,12.5
"48",7,170,20,20001,"16690000","003510250",20001999,1,41190300,2,10,4,0.08
"49",7,170,20,20001,"16690000","003510256",20001999,1,41190400,1,15,500,7.5
"50",7,170,20,20001,"16690000","003518082",20001999,1,41190300,2,1500,1000,3000
"51",7,170,20,20001,"16690000","007502925",20001999,1,41190300,1,1000,1000,1000
"52",7,170,20,20001,"21900001","000099749",20001012,1,41190600,0,0,0,0
"53",7,170,20,20011,"00070000","081206868",20011034,18,41190600,1,1110,480,532.8
"54",7,170,20,20011,"00210000","088206804",20011065,18,41180201,1,200,150,30
"55",7,170,20,20011,"03960001","000955463",20011051,1,41190100,2,6000,4.9,58.8
"56",7,170,20,20013,"00030000","082035366",20013003,18,41190400,1,1800,1,1.8
"57",7,170,20,20013,"00250000","081976511",20013003,18,41190300,0,0,0,0
"58",7,170,20,20013,"00730001","000621714",20013003,1,41190300,0,0,0,0
"59",7,170,20,20013,"03440000","082035454",20013003,18,41190300,0,0,0,0
"60",7,170,20,20013,"03440001","000621726",20013003,1,41190300,0,0,0,0
"61",7,170,20,20013,"03450000","082035416",20013003,18,41190300,1,500,1,0.5
"62",7,170,20,20032,"00033897","000071029",20032004,1,41190600,1,500,5,2.5
"63",7,170,20,20032,"00060001","000071335",20032022,2,41190300,1,30,10,0.3
"64",7,170,20,20032,"00120000","082035640",20032024,18,41190600,1,100,250,25
"65",7,170,20,20032,"00240001","000622618",20032010,2,41190300,3,50,5,0.75
"66",7,170,20,20032,"00300001","000622635",20032010,2,41190100,2,2,0.22,0.00088
"67",7,170,20,20032,"00321866","000621849",20032001,1,41190600,1,1000,10,10
"68",7,170,20,20032,"00350852","000071320",20032003,1,41190100,11,70,10,7.7
"69",7,170,20,20032,"00840001","000071068",20032006,2,41190400,2,500,5,5
"70",7,170,20,20032,"00910001","000071334",20032006,1,41190600,2,22,3.5,0.154
"71",7,170,20,20032,"01480001","000622640",20032006,1,41190600,1,100,15,1.5
"72",7,170,20,20032,"01700001","000071252",20032002,1,41190600,12,50,5,3
"73",7,170,20,20032,"01970001","000071023",20032002,1,41190600,2,2000,5,20
"74",7,170,20,20032,"99990000","082039942",20032024,18,41190600,1,2000,2,4
"75",7,170,20,20032,"99990000","082039953",20032001,18,41190600,1,1000,2,2
"76",7,170,20,20045,"00140000","081611836",20045002,18,41190600,0,0,0,0
"77",7,170,20,20045,"00210000","003507452",20045012,1,41190300,1,80,1,0.08
"78",7,170,20,20045,"00330000","081611854",20045004,18,41190400,0,0,0,0
"79",7,170,20,20045,"00860000","081869080",20045002,18,41180300,0,0,0,0
"80",7,170,20,20045,"01020000","081021241",20045002,18,41190300,1,1000,500,500
"81",7,170,20,20045,"01020000","081021241",20045002,28,41190600,1,1000,500,500
"82",7,170,20,20045,"02340000","002037085",20045011,1,41190300,1,900,500,450
"83",7,170,20,20045,"05160000","081039153",20045012,18,41190400,0,0,0,0
"84",7,170,20,20045,"05160000","081039153",20045012,28,41190600,0,0,0,0
"85",7,170,20,20045,"99990000","081021238",20045011,18,41190400,4,120,500,240
"86",7,170,20,20060,"01300000","087000846",20060022,18,41190400,4,19000,1000,76000
"87",7,170,20,20175,"00520001","000103443",20175010,2,41190400,1,300,10,3
"88",7,170,20,20175,"01080001","000103231",20175050,2,41190600,1,1500,5,7.5
"89",7,170,20,20175,"01120001","000105039",20175010,1,41190600,6,1000,5,30
"90",7,170,20,20175,"01190001","000102958",20175015,2,41190600,1,1500,6,9
"91",7,170,20,20175,"01390001","000621216",20175055,1,41190300,1,1500,4,6
"92",7,170,20,20228,"00600001","000083581",20228999,1,41190100,1,1500,0.06,0.09
"93",7,170,20,20228,"01330001","000938302",20228015,1,41190400,9,1000,2.5,22.5
"94",7,170,20,20228,"01400000","082036922",20228068,18,41190400,0,0,0,0
"95",7,170,20,20228,"04050001","000937313",20228006,1,41190300,7,2000,2.5,35
"96",7,170,20,20238,"00010000","088000884",20238007,18,41199900,0,0,0,0
"97",7,170,20,20238,"00520001","000104319",20238007,1,41190400,1,500,0.01,0.005
"98",7,170,20,20238,"22330000","088000879",20238003,18,41190900,9,50,5762,2592.9
"99",7,170,20,20250,"00090000","001411407",20250027,1,41190600,0,0,0,0
"100",7,170,20,20250,"01170001","000076218",20250020,3,41190400,1,2000,10,20
"101",7,170,20,20250,"02050857","000077699",20250031,2,41190400,1,30,5,0.15
"102",7,170,20,20250,"02060000","001411487",20250034,1,41190600,1,40,35,1.4
"103",7,170,20,20250,"02060001","000074722",20250034,1,41190600,1,40,35,1.4
"104",7,170,20,20250,"03580000","001411486",20250034,1,41190400,0,0,0,0
"105",7,170,20,20250,"04580001","000074721",20250034,1,41190400,0,0,0,0
"106",7,170,20,20295,"00010001","000068824",20295042,1,41190300,2,40000,4,320
"107",7,170,20,20295,"00050001","000068867",20295042,1,41190300,1,10,4.5,0.045
"108",7,170,20,20295,"00098852","000069242",20295036,1,41190600,0,0,0,0
"109",7,170,20,20295,"00160001","000069228",20295036,1,41190600,0,0,0,0
"110",7,170,20,20295,"00750001","000068934",20295038,1,41190600,4,200,5,4
"111",7,170,20,20295,"01100001","000068969",20295038,1,41190600,11,200,2,4.4
"112",7,170,20,20295,"01460001","000069064",20295040,1,41190600,11,30,0.01,0.0033
"113",7,170,20,20295,"01700001","000069155",20295038,1,41190100,0,0,0,0
"114",7,170,20,20295,"02130001","000068943",20295039,1,41190600,1,200,2.5,0.5
"115",7,170,20,20295,"02380001","000069061",20295040,1,41180201,8,300,0.01,0.024
"116",7,170,20,20295,"02440001","000068951",20295040,1,41190300,1,54,0.02,0.00108
"117",7,170,20,20295,"02460001","000068835",20295036,2,41190600,1,2500,0.5,1.25
"118",7,170,20,20310,"00071388","000623644",20310007,2,41189900,0,0,0,0
"119",7,170,20,20310,"00220000","001351918",20310002,1,41190300,1,500,1000,500
"120",7,170,20,20310,"00220000","001351918",20310002,2,41190500,1,500,1000,500
"121",7,170,20,20310,"01350001","000136681",20310005,1,41190600,0,0,0,0
"122",7,170,20,20383,"00070001","000105360",20383016,2,41190600,2,400,2.5,2
"123",7,170,20,20383,"00090001","000104637",20383012,1,41190400,2,30000,4,240
"124",7,170,20,20383,"00780001","000105316",20383021,1,41190100,0,0,0,0
"125",7,170,20,20383,"00940001","000105209",20383021,1,41190600,8,430,1.5,5.16
"126",7,170,20,20383,"01600001","000104631",20383012,1,41190600,2,100,0.01,0.002
"127",7,170,20,20400,"01120000","082039073",20400033,18,41190300,2,500,1000,1000
"128",7,170,20,20400,"01128248","000627278",20400033,1,42140100,2,500,10,10
"129",7,170,20,20400,"01390001","000227337",20400001,2,41190400,2,500,2.5,2.5
"130",7,170,20,20400,"02230000","081056412",20400001,18,41190400,12,100,500,600
"131",7,170,20,20400,"02230000","081056412",20400001,28,41190600,6,30,500,90
"132",7,170,20,20400,"02230001","000227622",20400001,2,41190400,12,100,5,6
"133",7,170,20,20400,"02490000","081056443",20400001,18,41190300,1,1500,100,150
"134",7,170,20,20400,"02490000","081056443",20400001,28,41190500,1,500,600,300
"135",7,170,20,20400,"02490001","000625650",20400001,1,41190300,1,1500,6,9
"136",7,170,20,20400,"02500000","081056477",20400014,18,41190300,2,500,250,250
"137",7,170,20,20400,"02500000","081056477",20400014,28,41190500,1,500,250,125
"138",7,170,20,20400,"02500001","000227645",20400014,2,41120108,0,0,0,0
"139",7,170,20,20400,"03900001","000227247",20400019,1,41190300,10,3000,2.5,75
"140",7,170,20,20400,"03960001","000227249",20400019,1,41190100,2,300,2.5,1.5
"141",7,170,20,20400,"03980001","000227158",20400015,1,41190600,3,20,5,0.3
"142",7,170,20,20400,"04238168","000227202",20400026,1,42140100,9,100,1,0.9
"143",7,170,20,20400,"05580001","000227650",20400001,1,42140100,5,100,1,0.5
"144",7,170,20,20400,"99990000","002039125",20400014,1,41199900,6,2000,1,12
"145",7,170,20,20443,"00150001","000072266",20443010,1,41190300,6,300,10,18
"146",7,170,20,20443,"00250001","000071534",20443010,2,41190600,1,20,2,0.04
"147",7,170,20,20443,"00380000","081327684",20443005,18,41190300,1,400,750,300
"148",7,170,20,20443,"00650000","088001639",20443007,18,41190300,1,1000,320,320
"149",7,170,20,20443,"00650000","088001639",20443007,28,41190400,2,2000,280,1120
"150",7,170,20,20443,"01530000","081327702",20443005,18,41190400,3,50,1,0.15
"151",7,170,20,20443,"01530001","000071710",20443005,1,41120199,0,0,0,0
"152",7,170,20,20517,"00090000","081405993",20517036,18,41190400,2,80,250,40
"153",7,170,20,20517,"00090000","081405999",20517036,18,41190400,1,1400,500,700
"154",7,170,20,20517,"99990000","082039981",20517034,18,41190600,0,0,0,0
"155",7,170,20,20550,"00080001","000906791",20550007,1,41190300,1,500,10,5
"156",7,170,20,20550,"01310001","000906709",20550006,1,41190100,6,50,15,4.5
"157",7,170,20,20550,"02820001","000137331",20550001,1,41190300,1,1000,10,10
"158",7,170,20,20550,"03140001","000907656",20550003,1,41190600,1,900,5,4.5
"159",7,170,20,20550,"04130000","081327861",20550010,18,41190400,0,0,0,0
"160",7,170,20,20550,"05970001","000907643",20550012,1,41190300,2,500,2,2
"161",7,170,20,20570,"11890000","083477202",20570004,18,41190400,2,60,500,60
"162",7,170,20,20570,"11890000","083477202",20570004,28,41190500,2,120,500,120
"163",7,170,20,20570,"11890000","083477324",20570004,18,41120199,0,0,0,0
"164",7,170,20,20570,"11900000","003503310",20570001,1,41190300,0,0,0,0
"165",7,170,20,20570,"13960001","000907025",20570003,1,41190300,0,0,0,0
"166",7,170,20,20570,"99990000","083474111",20570004,18,41180300,0,0,0,0
"167",7,170,20,20570,"99990000","083474111",20570004,28,41190400,0,0,0,0
"168",7,170,20,20570,"99990000","083501277",20570004,18,41180300,2,30,250,15
"169",7,170,20,20614,"00170416","000082825",20614038,1,41190300,1,3000,5,15
"170",7,170,20,20614,"00220001","000082626",20614012,2,41190800,1,20,2,0.04
"171",7,170,20,20614,"01440001","000082620",20614055,1,41190300,1,500,5,2.5
"172",7,170,20,20614,"01880001","000083273",20614033,2,41120199,0,0,0,0
"173",7,170,20,20614,"01970001","000082744",54498016,1,41190300,2,90,3.5,0.63
"174",7,170,20,20621,"00040000","002037417",20621006,1,41190300,0,0,0,0
"175",7,170,20,20621,"00260001","000156591",20621005,1,41190300,3,100,0.05,0.015
"176",7,170,20,20621,"01580000","001844735",20621000,1,41190600,1,300,800,240
"177",7,170,20,20710,"00080001","000074832",20710031,1,41190300,6,4500,0.01,0.27
"178",7,170,20,20710,"00110001","000075489",20710033,1,41190300,1,500,5,2.5
"179",7,170,20,20710,"00840001","000075437",20710031,1,41190300,1,350,6,2.1
"180",7,170,20,20750,"00710001","000069148",20750003,1,41190300,1,2000,20,40
"181",7,170,20,20750,"03020001","000137320",20750006,1,41190300,1,500,5,2.5
"182",7,170,20,20770,"00410000","082105974",20770004,18,41190600,3,1000,1,3
"183",7,170,20,20770,"00410001","000261255",20770004,1,41190600,2,1000,7.5,15
"184",7,170,20,20787,"00360001","000228061",20787003,1,41190600,7,1000,3,21
"185",7,170,20,20787,"00650001","000227763",20787003,1,41190300,1,2000,5,10
