Año,Municipio,rangotamañopredial,cantidaddepredios,área(Ha),cantidaddepropietarios,área(Ha)/propetario
2013,Purísima,"A1.Hasta 0,5 ha",145,26.0875,145,0.179913793103448
2013,Purísima,"A2.Mayor a 0,5 ha - hasta 1 ha",56,49.9639,58,0.861446551724138
2013,Purísima,"A3.Mayor a 1 ha - hasta 2,5 ha",182,336.0965,202,1.66384405940594
2013,Purísima,"A4.Mayor a 2,5 ha - hasta 3 ha",46,153.3796,49,3.13019591836734
2013,Purísima,B1.Mayor a 3 ha - hasta 5 ha,173,682.4265,209,3.2651985645933
2013,Purísima,B2.Mayor a 5 ha - hasta 10 ha,231,1699.1175,320,5.3097421875
2013,Purísima,C1.Mayor a 10 ha - hasta 20 ha,159,2156.8713,235,9.17817574468085
2013,Purísima,D1.Mayor a 20 ha - hasta 50 ha,94,2798.6029,159,17.6012761006289
2013,Purísima,D2.Mayor a 50 ha - hasta 100 ha,8,504.172,19,26.5353684210526
2013,Purísima,D3.Mayor a 100 ha - hasta 200 ha,12,1678.1655,18,93.2314166666666
2013,Purísima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1493.0,1,1493.0
2014,Purísima,"A1.Hasta 0,5 ha",145,26.0875,145,0.179913793103448
2014,Purísima,"A2.Mayor a 0,5 ha - hasta 1 ha",56,49.9639,56,0.8922125
2014,Purísima,"A3.Mayor a 1 ha - hasta 2,5 ha",182,336.0965,182,1.84668406593406
2014,Purísima,"A4.Mayor a 2,5 ha - hasta 3 ha",46,153.3796,46,3.33433913043478
2014,Purísima,B1.Mayor a 3 ha - hasta 5 ha,173,683.9265,173,3.9533323699422
2014,Purísima,B2.Mayor a 5 ha - hasta 10 ha,231,1699.1175,229,7.41972707423581
2014,Purísima,C1.Mayor a 10 ha - hasta 20 ha,159,2156.8713,158,13.6510841772152
2014,Purísima,D1.Mayor a 20 ha - hasta 50 ha,94,2798.6029,94,29.7723712765957
2014,Purísima,D2.Mayor a 50 ha - hasta 100 ha,8,504.172,8,63.0215
2014,Purísima,D3.Mayor a 100 ha - hasta 200 ha,12,1617.7044,12,134.8087
2014,Purísima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1493.0,1,1493.0
2015,Purísima,"A1.Hasta 0,5 ha",145,26.0875,145,0.179913793103448
2015,Purísima,"A2.Mayor a 0,5 ha - hasta 1 ha",57,49.9639,58,0.861446551724138
2015,Purísima,"A3.Mayor a 1 ha - hasta 2,5 ha",182,335.3465,202,1.66013118811881
2015,Purísima,"A4.Mayor a 2,5 ha - hasta 3 ha",46,153.3796,49,3.13019591836734
2015,Purísima,B1.Mayor a 3 ha - hasta 5 ha,175,690.9928,210,3.29044190476191
2015,Purísima,B2.Mayor a 5 ha - hasta 10 ha,232,1707.3675,321,5.31890186915888
2015,Purísima,C1.Mayor a 10 ha - hasta 20 ha,158,2142.5228,234,9.15608034188034
2015,Purísima,D1.Mayor a 20 ha - hasta 50 ha,94,2779.8529,158,17.5940056962025
2015,Purísima,D2.Mayor a 50 ha - hasta 100 ha,9,543.1429,21,25.8639476190476
2015,Purísima,D3.Mayor a 100 ha - hasta 200 ha,11,1578.7335,15,105.2489
2015,Purísima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1493.0,1,1493.0
2016,Purísima,"A1.Hasta 0,5 ha",149,26.4361,147,0.179837414965986
2016,Purísima,"A2.Mayor a 0,5 ha - hasta 1 ha",56,49.9639,58,0.861446551724138
2016,Purísima,"A3.Mayor a 1 ha - hasta 2,5 ha",182,334.5479,201,1.66441741293532
2016,Purísima,"A4.Mayor a 2,5 ha - hasta 3 ha",46,153.3796,49,3.13019591836734
2016,Purísima,B1.Mayor a 3 ha - hasta 5 ha,175,690.9928,211,3.27484739336493
2016,Purísima,B2.Mayor a 5 ha - hasta 10 ha,232,1699.196,326,5.21225766871165
2016,Purísima,C1.Mayor a 10 ha - hasta 20 ha,159,2156.3728,236,9.13717288135593
2016,Purísima,D1.Mayor a 20 ha - hasta 50 ha,97,2898.6367,162,17.8928191358025
2016,Purísima,D2.Mayor a 50 ha - hasta 100 ha,8,504.172,20,25.2086
2016,Purísima,D3.Mayor a 100 ha - hasta 200 ha,11,1578.7335,15,105.2489
2016,Purísima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1493.0,1,1493.0
2017,Purísima,"A1.Hasta 0,5 ha",149,26.5625,149,0.178271812080537
2017,Purísima,"A2.Mayor a 0,5 ha - hasta 1 ha",58,51.4995,61,0.844254098360656
2017,Purísima,"A3.Mayor a 1 ha - hasta 2,5 ha",182,335.605,202,1.66141089108911
2017,Purísima,"A4.Mayor a 2,5 ha - hasta 3 ha",47,156.1796,50,3.123592
2017,Purísima,B1.Mayor a 3 ha - hasta 5 ha,176,694.2064,220,3.15548363636364
2017,Purísima,B2.Mayor a 5 ha - hasta 10 ha,228,1696.6845,320,5.3021390625
2017,Purísima,C1.Mayor a 10 ha - hasta 20 ha,161,2167.3566,233,9.30195965665236
2017,Purísima,D1.Mayor a 20 ha - hasta 50 ha,97,2898.6367,162,17.8928191358025
2017,Purísima,D2.Mayor a 50 ha - hasta 100 ha,8,504.172,20,25.2086
2017,Purísima,D3.Mayor a 100 ha - hasta 200 ha,11,1578.7335,15,105.2489
2017,Purísima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1493.0,1,1493.0
2018,Purísima,"A1.Hasta 0,5 ha",150,26.5625,149,0.178271812080537
2018,Purísima,"A2.Mayor a 0,5 ha - hasta 1 ha",59,51.4995,61,0.844254098360656
2018,Purísima,"A3.Mayor a 1 ha - hasta 2,5 ha",183,337.2695,203,1.66142610837438
2018,Purísima,"A4.Mayor a 2,5 ha - hasta 3 ha",47,156.1796,50,3.123592
2018,Purísima,B1.Mayor a 3 ha - hasta 5 ha,178,704.1641,222,3.17191036036036
2018,Purísima,B2.Mayor a 5 ha - hasta 10 ha,230,1692.9936,322,5.25774409937888
2018,Purísima,C1.Mayor a 10 ha - hasta 20 ha,159,2148.5623,230,9.3415752173913
2018,Purísima,D1.Mayor a 20 ha - hasta 50 ha,97,2898.6367,162,17.8928191358025
2018,Purísima,D2.Mayor a 50 ha - hasta 100 ha,8,504.172,20,25.2086
2018,Purísima,D3.Mayor a 100 ha - hasta 200 ha,11,1578.7335,15,105.2489
2018,Purísima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1493.0,1,1493.0
2019,Purísima,"A1.Hasta 0,5 ha",153,27.6999,154,0.17986948051948
2019,Purísima,"A2.Mayor a 0,5 ha - hasta 1 ha",59,51.4995,63,0.817452380952381
2019,Purísima,"A3.Mayor a 1 ha - hasta 2,5 ha",184,338.7695,206,1.64451213592233
2019,Purísima,"A4.Mayor a 2,5 ha - hasta 3 ha",48,158.9835,51,3.11732352941176
2019,Purísima,B1.Mayor a 3 ha - hasta 5 ha,176,693.408,220,3.15185454545455
2019,Purísima,B2.Mayor a 5 ha - hasta 10 ha,231,1708.9269,324,5.27446574074074
2019,Purísima,C1.Mayor a 10 ha - hasta 20 ha,158,2143.7748,234,9.16143076923077
2019,Purísima,D1.Mayor a 20 ha - hasta 50 ha,97,2898.6367,167,17.3571059880239
2019,Purísima,D2.Mayor a 50 ha - hasta 100 ha,8,504.172,20,25.2086
2019,Purísima,D3.Mayor a 100 ha - hasta 200 ha,11,1578.7335,15,105.2489
2019,Purísima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1493.0,1,1493.0
2020,Purísima,"A1.Hasta 0,5 ha",153,27.6999,154,0.17986948051948
2020,Purísima,"A2.Mayor a 0,5 ha - hasta 1 ha",60,52.4662,64,0.819784375
2020,Purísima,"A3.Mayor a 1 ha - hasta 2,5 ha",185,338.8276,207,1.63684830917874
2020,Purísima,"A4.Mayor a 2,5 ha - hasta 3 ha",49,161.5267,52,3.10628269230769
2020,Purísima,B1.Mayor a 3 ha - hasta 5 ha,179,704.683,224,3.14590625
2020,Purísima,B2.Mayor a 5 ha - hasta 10 ha,231,1702.9043,331,5.14472598187311
2020,Purísima,C1.Mayor a 10 ha - hasta 20 ha,158,2133.3642,229,9.31600087336244
2020,Purísima,D1.Mayor a 20 ha - hasta 50 ha,96,2826.9478,165,17.133016969697
2020,Purísima,D2.Mayor a 50 ha - hasta 100 ha,9,559.5936,21,26.6473142857143
2020,Purísima,D3.Mayor a 100 ha - hasta 200 ha,11,1578.7335,15,105.2489
2020,Purísima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1493.0,1,1493.0
